NC Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Energy supply,243.7,240.4,229.6,214.1,210.7,209.6,211.0,198.7,204.6,193.8,205.1,216.2,212.8,220.1,218.4,218.9,224.1,219.2,212.9,189.9,197.1,182.7,193.0,181.2,156.8,137.4,115.0,104.6,97.5,89.3,78.2,80.7
     from power stations,203.0,199.6,187.6,170.3,166.1,163.0,162.6,150.1,155.3,147.2,158.6,169.4,165.0,174.0,173.7,172.9,181.7,177.5,172.4,150.8,157.0,144.3,158.1,147.2,124.0,103.9,82.1,72.1,65.8,57.8,49.5,54.1
     other Energy supply,40.6,40.8,42.1,43.9,44.7,46.6,48.4,48.6,49.3,46.6,46.5,46.9,47.8,46.0,44.7,46.0,42.3,41.6,40.5,39.1,40.1,38.4,34.8,34.1,32.7,33.5,32.9,32.5,31.7,31.5,28.6,26.6
Business,111.3,116.9,113.7,111.9,110.8,108.4,110.5,107.0,106.3,109.2,108.9,106.3,95.4,98.1,97.5,97.2,94.4,92.4,89.7,76.5,78.2,71.6,73.0,73.2,71.0,69.7,67.2,67.6,66.9,64.6,61.5,65.1
Transport,125.4,123.6,124.8,126.2,127.4,126.8,131.2,132.3,131.5,132.6,131.0,130.7,133.3,132.5,133.6,134.3,134.4,136.0,130.1,125.2,123.4,121.2,120.2,118.8,120.1,122.2,124.5,124.7,123.1,121.0,97.7,107.5
Public,13.3,14.2,14.8,13.4,13.2,13.1,14.0,13.7,12.8,12.8,12.0,12.2,10.3,10.2,11.2,11.1,10.1,9.4,9.7,8.8,9.5,8.0,8.9,9.1,7.8,8.0,8.0,7.7,7.7,7.5,7.4,7.9
Residential,78.2,86.9,84.3,88.3,84.1,79.8,91.0,83.9,85.8,85.6,85.8,88.1,84.7,85.5,87.2,82.7,80.1,76.5,78.5,75.2,84.7,67.5,73.9,74.7,62.2,64.7,66.0,63.8,66.0,63.5,64.4,68.1
Agriculture [note 5],6.5,6.5,6.5,6.1,6.5,6.5,6.6,5.8,6.0,6.2,5.5,5.4,5.5,6.2,6.2,6.1,5.9,5.7,5.5,5.4,5.4,5.6,5.4,5.2,5.5,5.5,5.7,5.7,5.8,6.0,5.5,5.5
Industrial processes [note 5],19.9,17.2,16.2,15.8,17.6,18.3,18.6,17.8,17.8,17.9,17.3,16.0,15.1,16.0,16.4,16.7,15.9,17.2,15.5,10.1,10.8,10.3,10.1,12.3,12.4,12.1,10.1,10.4,9.8,9.9,9.2,9.3
Waste management [note 5],1.4,1.3,1.3,1.3,1.1,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2
"LULUCF [note 4, 5]",5.9,5.4,4.6,4.0,3.6,3.7,2.7,2.1,1.4,1.5,1.3,0.7,-0.1,-0.3,-1.1,-1.4,-1.8,-2.4,-3.1,-3.1,-3.2,-3.8,-3.6,-3.6,-3.8,-3.6,-3.4,-3.6,-3.0,-2.7,-3.0,-3.0
Total CO2,605.4,612.4,595.9,581.1,575.1,567.2,586.7,562.0,566.8,560.3,567.4,576.0,557.6,568.8,569.8,566.2,563.2,554.2,539.1,488.3,506.1,463.3,481.2,471.2,432.2,416.2,393.4,381.1,374.0,359.3,321.1,341.5
Other greenhouse gases [note 6],200.8,202.2,197.1,191.9,186.7,188.2,188.5,188.5,181.4,158.2,150.8,144.8,140.9,136.1,130.9,126.2,121.4,117.9,111.5,106.0,102.5,99.6,98.1,94.4,93.0,91.7,89.7,90.5,89.4,88.6,84.4,83.1
Total greenhouse gases,806.3,814.6,793.0,773.1,761.8,755.4,775.2,750.5,748.3,718.5,718.2,720.8,698.5,704.9,700.6,692.3,684.6,672.1,650.5,594.3,608.6,562.8,579.3,565.6,525.2,507.9,483.1,471.6,463.5,447.9,405.5,424.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,