"","Rank","Country","International $"
"0","1","Burundi","771"
"1","2","Central African Rep.","988"
"2","3","DR Congo","1142"
"3","4","South Sudan**","1235"
"4","5","Somalia","1246"
"5","6","Niger","1288"
"6","7","Mozambique","1297"
"7","8","Liberia","1468"
"8","9","Madagascar","1544"
"9","10","Malawi","1592"
"10","11","Chad","1602"
"11","12","Eritrea****","1626"
"12","13","Sierra Leone","1727"
"13","14","Guinea-Bissau","1949"
"14","15","Afghanistan","2079"
"15","16","Rwanda","2214"
"16","17","Togo","2223"
"17","18","Burkina Faso","2274"
"18","19","Gambia, The","2275"
"19","20","Uganda","2294"