Bank,2016,2017,2018,2019,2020,2021,Total
JPMorgan Chase,64893059620,71041939399,68264216384,64721950547,51749592142,61732469271,382403227363
Citi,44936464000,47554805093,48922694886,53606846791,48998383325,41351153152,285370347248
Wells Fargo,36807564276,55186220192,61611708842,45359920117,26638519356,46215372768,271819305551
Bank of America,39263282532,36415407776,34154550088,48054593861,42145706625,31977957452,232011498334
RBC,29864540943,38829210157,38564003006,35945491274,19268227329,38757115920,201228588630
MUFG,25478637106,26405572412,36608298717,31894202405,29209170565,31898720553,181494601757
Barclays,31298258865,30608002044,26627910273,30602187450,28021548726,19582620358,166740527716
Mizuho,22324770096,19803096059,29520920790,32885205710,23497374122,27712692812,155744059587
Scotiabank,20809554021,25866924584,29014079116,27007270412,16243719126,30402496036,149344043295
BNP Paribas,17875749921,18122773119,18516285701,29683734521,42661290999,14745286425,141605120686
TD,20375836132,29274106246,25624908940,27465126402,16988913356,21153977355,140882868431
Morgan Stanley,24923597198,25282235080,20853076303,23017832963,21787241899,21422879511,137286862954
HSBC Holdings,17953826625,22337750138,20868071282,26773441873,24558824110,17975978843,130467892870
Goldman Sachs,23026203814,19925498032,17342246449,21607297554,19252813026,17822275887,118976334763
Bank of Montreal,17766094776,21724772825,21882125020,21858046247,15077835358,18780783997,117089658223
Bank of China,25767274940,14000199159,22315036517,20306397142,19143788671,14375268635,115907965064
ICBC,19707535004,15349207863,15023265637,19995480008,25198534162,17489915449,112763938122
SMBC Group,11166024796,12284928265,16124674742,20055998513,29673178757,19970158016,109274963089
Credit Suisse,19733608908,21530180671,16904713018,14338228832,9831317521,9397619128,91735668078
CIBC,12242350947,14492634385,12161907345,19577588797,9584613616,22217907082,90277002171
Société Générale,13617831698,10553388733,15239764362,14686529193,19678433579,13651534648,87427482213
Deutsche Bank,21182153059,19424445617,15477228498,11514117347,9247861816,9107612122,85953418459
Credit Agricole,9305810927,11401007048,13435967641,12159155665,19529102896,9945860128,75776904304
Agricultural Bank of China,12115801843,6157799723,7802914227,11736247954,14897480352,18207024702,70917268802
China Construction Bank,15415464428,8877311188,9200152597,13291863167,12415469678,9474915140,68675176198
Industrial Bank,8141715086,8194285392,11708898656,10644038105,13877550844,14385965231,66952453313
China CITIC Bank,8479660773,6767567099,10369574704,11876811313,10278547567,12713204481,60485365937
ING,9140231506,8350173006,11446819513,8970302164,6237412565,10752813046,54897751801
BPCE,5756463458,5834535623,11644355972,7712812100,6469518684,8839307310,46256993147
Shanghai Pudong Development Bank,6141929149,5223784249,6477347566,8075700666,11070198997,9004170698,45993131325
China Merchants Bank,9228408285,3661573226,7758291974,5802305174,7201093063,10645268046,44296939768
Santander,6512117005,4994416166,4856464717,8482970241,10146784274,7920009809,42912762212
China Everbright Bank,5425498379,4423062783,4183845771,4791597050,11532505750,10319978647,40676488380
UBS,7805762928,9095101901,10999507901,6304608549,2256752915,3594835066,40056569260
Ping An Group,2950171500,4841843079,8014730048,5447651825,8468196595,10004498232,39727091277
Standard Chartered,2673699297,5197187339,10070373212,8316066612,7093600288,6287788731,39638715477
UniCredit,6049467013,6700184010,4920819206,5429884104,8356037472,4742206831,36198598637
PNC,2651693509,4713184148,7545608236,5687512748,4523401248,6907536960,32028936849
Bank of Communications,4344206167,3044534751,4658959564,4264693308,6603231176,8610597562,31526222529
China Minsheng Bank,1855842599,977651843,2811392019,10301884970,10658992499,1996827711,28602591641
State Bank of India,6325509048,7346546049,738929598,6223142054,2134834788,3604596720,26573168187
BBVA,4640480756,3439260635,4865694471,4876185646,4901287031,3550369145,26273277684
Intesa Sanpaolo,4319909414,1994146924,4450234444,1595581800,1878822181,3695069729,17933764492
ANZ,3226747245,2679161423,4032634895,3167073445,3090415880,1479614680,17675647568
NatWest Group,3556653344,2695816472,3299075592,1473157248,1984272894,1834625614,14843601165
Commerzbank,995329949,2654707923,2482832001,3532650399,2119956036,1118823884,12904300192
KB Financial,2565633555,1088875549,5277171200,1302442190,1783455697,738929598,12756507790
Lloyds Banking Group,2641403065,2445666406,2431177336,1522560867,2300444886,1308579458,12649832018
Postal Savings Bank of China,164953922,1007299207,1671190384,2912424773,2157959453,3798546638,11712374376
Rabobank,2206944639,1643847774,1808097265,1842430145,873319206,2094201438,10468840467
Nordea Bank,2691144740,1836353240,1176973069,2063471559,1444413623,1019443466,10231799698
Westpac,802502959,1305306972,1135769215,2958804580,787631376,682725686,7672740787
Commonwealth Bank,1303771315,650205952,1887132117,949661248,1723297980,1058782468,7572851079
Danske Bank,1114059294,711474523,1255927297,1697429308,799172186,1099323861,6677386468
NAB,997523532,538238740,1301425520,1344792394,649097750,1774305359,6605383295
CaixaBank,583760579,721997237,1275619347,1773536533,575440011,540862056,5471215763
DZ Bank,259367091,298716365,374170608,285299832,355047833,56918039,1629519768
La Banque Postale,17504921,0,22930217,33705691,81831032,267141571,423113432
Crédit Mutuel,17504921,34555433,197015393,134481133,0,13591479,397148359
SuMi TRUST,29373649,0,0,0,200000000,0,229373649
Total,723468241069,737560677246,799211709408,829942424519,749913464891,741831054639,4582127181703