LOCATION,TIME,Value
BEL,2018-Q1,0.31
BEL,2018-Q2,-0.47
BEL,2018-Q3,0.3
BEL,2018-Q4,2.49
BEL,2019-Q1,-1.07
BEL,2019-Q2,2.29
BEL,2019-Q3,-1.25
BEL,2019-Q4,0.74
BEL,2020-Q1,0.3
BEL,2020-Q2,-2.42
BEL,2020-Q3,3.42
BEL,2020-Q4,0.8
BEL,2021-Q1,-1.9
BEL,2021-Q2,2.81
BEL,2021-Q3,0.7
BEL,2021-Q4,-4.83
BEL,2022-Q1,4.91
BEL,2022-Q2,-2.91
GBR,2018-Q1,1.01
GBR,2018-Q2,-0.32
GBR,2018-Q3,0.44
GBR,2018-Q4,1.11
GBR,2019-Q1,-0.48
GBR,2019-Q2,1.48
GBR,2019-Q3,-0.13
GBR,2019-Q4,0.04
GBR,2020-Q1,-1.75
GBR,2020-Q2,-1.96
GBR,2020-Q3,2.36
GBR,2020-Q4,-0.12
GBR,2021-Q1,0.03
GBR,2021-Q2,0.27
GBR,2021-Q3,-0.26
GBR,2021-Q4,-0.37
GBR,2022-Q1,-0.6
GBR,2022-Q2,-1.12
USA,2018-Q1,0.9
USA,2018-Q2,0.7
USA,2018-Q3,0.85
USA,2018-Q4,0.94
USA,2019-Q1,1.22
USA,2019-Q2,-0.17
USA,2019-Q3,0.67
USA,2019-Q4,0.52
USA,2020-Q1,0.61
USA,2020-Q2,10.13
USA,2020-Q3,-3.86
USA,2020-Q4,-2.16
USA,2021-Q1,10.82
USA,2021-Q2,-7.88
USA,2021-Q3,-1.11
USA,2021-Q4,-1.2
USA,2022-Q1,-2.6
USA,2022-Q2,-0.4
OECD,2018-Q1,0.59
OECD,2018-Q2,0.31
OECD,2018-Q3,0.43
OECD,2018-Q4,0.56
OECD,2019-Q1,0.85
OECD,2019-Q2,0.28
OECD,2019-Q3,0.48
OECD,2019-Q4,0.36
OECD,2020-Q1,0.24
OECD,2020-Q2,3.72
OECD,2020-Q3,-0.22
OECD,2020-Q4,-1.06
OECD,2021-Q1,5.09
OECD,2021-Q2,-3.51
OECD,2021-Q3,-0.03
OECD,2021-Q4,-0.29
OECD,2022-Q1,-1.15
OECD,2022-Q2,-0.51